Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,6100.029785,6100.029785,6032.129883,6067.009766,5862.822754,63816
2014-10-28,6067.009766,6086.839844,5984.259766,6040.040039,5836.761719,260380
2014-10-29,6040.040039,6106.379883,6018.450195,6051.479980,5847.815430,132199
2014-10-30,6051.479980,6155.229980,6009.660156,6078.149902,5873.588867,134551
2014-11-03,6078.149902,6164.609863,6056.560059,6115.180176,5909.372559,139249
2014-11-04,6115.180176,6092.709961,5959.830078,6086.750000,5881.898926,412510
2014-11-05,6086.750000,6124.950195,6058.509766,6105.310059,5899.833984,78118
2014-11-06,6105.310059,6154.259766,5910.979980,6098.669922,5893.417969,227271
2014-11-07,6098.669922,6154.259766,6096.520020,6114.790039,5908.995605,63896
2014-11-10,6114.790039,6155.229980,6057.529785,6102.080078,5896.713379,43641
2014-11-11,6102.080078,6155.140137,6057.529785,6067.990234,5863.770996,260849
2014-11-12,6067.990234,6301.790039,6068.279785,6271.890137,6060.808594,192732
2014-11-13,6271.890137,6507.060059,6252.839844,6494.459961,6275.887695,577400
2014-11-14,6494.459961,6506.959961,6167.939941,6438.770020,6222.071289,304091
2014-11-17,6438.770020,6487.319824,6399.490234,6461.729980,6244.258789,244050
2014-11-18,6461.729980,6585.120117,6463.000000,6555.810059,6335.172852,169796
2014-11-19,6555.810059,6741.939941,6585.120117,6729.240234,6502.766113,349126
2014-11-20,6729.240234,6731.680176,6604.669922,6620.879883,6398.052734,440585
2014-11-21,6620.879883,6839.149902,6423.919922,6477.359863,6259.362793,174238
2014-11-24,6477.359863,6643.750000,6514.779785,6536.370117,6316.387207,296411
2014-11-25,6536.370117,6663.290039,6555.810059,6585.419922,6363.785645,323936
2014-11-26,6585.419922,6594.890137,6497.189941,6551.709961,6331.210449,147274
2014-11-27,6551.709961,6614.439941,6594.890137,6597.240234,6375.208984,63071
2014-11-28,6597.240234,6624.209961,6546.140137,6621.180176,6398.343262,185392
2014-12-01,6621.180176,6614.439941,6570.470215,6577.890137,6356.509766,247090
2014-12-02,6577.890137,6581.220215,6526.500000,6530.899902,6311.101074,122804
2014-12-03,6530.899902,6590.009766,6531.390137,6563.529785,6342.632813,73502
2014-12-04,6563.529785,6585.120117,6555.810059,6577.600098,6356.229492,51613
